specObjID,class,subClass,z,zWarning,snMedian
12768865069762369536,QSO,null,0.6198489,0,2.779092
12768865894396090368,GALAXY,null,0.6412449,0,1.118446
12768866169273997312,QSO,BROADLINE,1.872521,0,5.347602
12768866444151904256,QSO,BROADLINE,2.034488,0,6.001242
12768866719029811200,STAR,WDcooler,-0.0002926668,0,2.100971
12768866993907718144,QSO,BROADLINE,1.532673,0,4.797638
12768867268785625088,QSO,BROADLINE,1.667355,0,4.675589
12768867543663532032,GALAXY,null,0.6518635,0,1.276085
12768867818541438976,QSO,BROADLINE,2.024744,0,1.232096
12768868093419345920,QSO,BROADLINE,2.174095,0,7.01497
12768868368297252864,GALAXY,STARFORMING,0.03806455,0,5.237642
12768868918053066752,QSO,null,1.874829,0,3.435781
12768869192930973696,GALAXY,null,0.5407693,0,1.36737
12768869467808880640,QSO,BROADLINE,0.9692127,0,5.694041
12768869742686787584,QSO,BROADLINE,1.626224,0,4.030672
12768870292442601472,GALAXY,null,0.6366973,0,1.066328
12768870567320508416,QSO,null,1.457776,0,1.85694
12768870842198415360,QSO,BROADLINE,1.684878,0,8.82545
12768871117076322304,QSO,BROADLINE,1.654327,0,1.31226
12768871391954229248,QSO,BROADLINE,1.887641,0,1.25638
12768871666832136192,QSO,BROADLINE,1.886884,0,2.627653
12768871941710043136,QSO,null,1.217703,0,1.788499
12768872216587950080,STAR,F3/F5V (30743),-0.0001002037,0,33.28922
12768872766343763968,QSO,BROADLINE,1.649849,0,6.522114
12768873041221670912,QSO,null,2.048597,0,0.9822441
12768873316099577856,QSO,null,1.609115,0,1.925419
12768873865855391744,QSO,BROADLINE,0.5438901,0,4.317061
12768874140733298688,GALAXY,STARBURST,0.03973057,0,5.52776
12768874415611205632,QSO,null,1.069704,0,4.452072
12768874690489112576,QSO,null,1.513041,0,1.034689
12768875515122833408,QSO,BROADLINE,0.9694874,0,10.91901
12768875790000740352,QSO,BROADLINE,3.142864,0,1.327876
12768876614634461184,QSO,STARBURST BROADLINE,0.4769663,0,8.356599
12768876889512368128,QSO,BROADLINE,1.970665,0,3.681699
12768877164390275072,QSO,BROADLINE,1.533217,0,2.976091
12768877439268182016,GALAXY,null,0.6189101,0,1.590756
12768877989023995904,QSO,BROADLINE,1.434897,0,6.395875
12768878538779809792,GALAXY,null,0.7637661,0,0.8352922
12768879638291437568,QSO,BROADLINE,1.98601,0,12.40252
12768879913169344512,QSO,BROADLINE,1.031473,0,4.321803
12768880462925158400,QSO,BROADLINE,1.877966,0,5.071787
12768881012680972288,QSO,BROADLINE,1.523375,0,2.80262
12768881837314693120,STAR,M4.5:III (123657),0.0001152329,0,1.769777
12768882112192600064,QSO,null,1.391673,0,1.463099
12768882387070507008,GALAXY,null,0.6464255,0,1.046732
12768882661948413952,QSO,BROADLINE,1.473188,0,8.365053
12768882936826320896,QSO,BROADLINE,2.174183,0,1.950651
12768883486582134784,STAR,M5III (221615),0.0001634551,0,1.665688
12768883761460041728,QSO,BROADLINE,3.45627,0,6.688861
12768884036337948672,GALAXY,null,0.7026939,0,1.382669
12768884311215855616,QSO,BROADLINE,1.385481,0,27.51809
6182337655306737664,GALAXY,null,0.4928848,0,2.04496
6182337930184644608,QSO,BROADLINE,2.311284,0,5.150418
6182338205062551552,GALAXY,null,0.4928851,0,3.110704
6182338479940458496,QSO,null,2.370408,0,0.9354861
6182338754818365440,GALAXY,null,0.3596117,0,5.157505
6182339029696272384,GALAXY,null,0.3646406,0,5.863039
6182339304574179328,GALAXY,null,0.6565405,0,1.598681
6182339579452086272,STAR,WDcooler,-0.0005352147,0,1.578559
6182339854329993216,GALAXY,null,0.5577695,0,1.81567
6182340404085807104,GALAXY,null,0.7684079,0,2.17474
6182340678963714048,STAR,A1V (95418),-0.0003653863,0,1.912244
6182340953841620992,GALAXY,null,0.6336187,0,1.793295
6182341228719527936,GALAXY,null,0.2370526,0,11.36622
6182341503597434880,GALAXY,null,0.5940711,0,1.634782
6182341778475341824,GALAXY,null,0.316196,0,7.918476
6182342053353248768,GALAXY,null,0.4962422,0,2.606113
6182342328231155712,STAR,A2II (39866),-0.000208148,0,17.04494
6182342603109062656,GALAXY,null,0.5768078,0,1.956258
6182342877986969600,QSO,BROADLINE,0.9141235,0,2.371904
6182343152864876544,GALAXY,null,0.5973188,0,2.302088
6182343427742783488,QSO,BROADLINE,2.365105,0,7.654822
6182343977498597376,QSO,BROADLINE,2.513447,0,4.149597
6182344252376504320,GALAXY,null,0.6012288,0,1.770233
6182344527254411264,STAR,F3/F5V (30743),0.0001914373,0,21.10155
6182344802132318208,GALAXY,null,0.5745851,0,2.248455
6182345077010225152,STAR,WDhotter,-0.0002821649,0,10.63224
6182345351888132096,GALAXY,null,0.6088107,0,2.587632
6182345626766039040,STAR,K3V (32147),3.705813E-05,0,31.48389
6182345901643945984,GALAXY,null,0.5548778,0,2.229455
6182346176521852928,QSO,BROADLINE,2.554958,0,12.20642
6182346451399759872,GALAXY,null,0.5552985,0,2.386491
6182346726277666816,GALAXY,null,0.3177259,0,8.418512
6182347001155573760,STAR,M4.5:III (123657),-6.977302E-05,0,6.031528
6182347550911387648,GALAXY,null,0.6014766,0,1.594668
6182348100667201536,GALAXY,null,0.6006284,0,1.912918
6182348375545108480,GALAXY,null,0.48809,0,2.131833
6182348650423015424,GALAXY,null,0.6009064,0,1.898034
6182348925300922368,QSO,BROADLINE,3.152864,0,0.7232689
6182349200178829312,GALAXY,null,0.6299883,0,1.434919
6182349749934643200,GALAXY,null,0.5655887,0,1.851081
6182350299690457088,GALAXY,null,0.6150439,0,1.353591
6182350849446270976,GALAXY,null,0.5688481,0,2.1151
6182351124324177920,QSO,BROADLINE,0.7373634,0,8.087863
6182351399202084864,GALAXY,null,0.5091602,0,2.751519
6182351674079991808,QSO,BROADLINE,3.177728,0,3.689637
6182351948957898752,GALAXY,AGN BROADLINE,0.4241506,0,2.763412
6182352223835805696,QSO,BROADLINE,2.562893,0,3.808283
6182352498713712640,GALAXY,null,0.675511,0,1.445637
8596247280222492672,QSO,BROADLINE,0.4870238,0,3.504659
8596247829978306560,QSO,BROADLINE,1.081204,0,4.912166
8596248104856213504,QSO,BROADLINE,1.867679,0,8.765344
8596249204367841280,QSO,BROADLINE,1.064881,0,12.83675
8596249479245748224,STAR,M1 (204445),-0.0003719273,0,2.479672
8596250303879469056,QSO,BROADLINE,0.9146722,0,4.228661
8596250578757376000,GALAXY,null,0.09830609,0,0.7792709
8596250853635282944,STAR,F3/F5V (30743),-0.0008606426,0,11.6603
8596251678269003776,QSO,BROADLINE,1.502078,0,6.852773
8596251953146910720,STAR,WDcooler,-0.0001478522,0,6.449693
8596252502902724608,QSO,BROADLINE,1.637638,0,6.467064
8596254152170166272,QSO,BROADLINE,0.1807775,0,10.60791
8596254427048073216,STAR,M5III (221615),-0.0001616293,0,1.081053
8596254976803887104,STAR,A2II (39866),-2.462681E-05,0,31.58738
8596255801437607936,QSO,BROADLINE,1.343358,0,9.234189
8596256076315514880,QSO,BROADLINE,2.234273,0,3.970499
8596256351193421824,QSO,BROADLINE,0.5009844,0,8.320831
8596256900949235712,GALAXY,null,0.2713912,0,5.586421
8596257175827142656,GALAXY,null,0.7512192,0,1.006454
8596257450705049600,QSO,BROADLINE,2.660875,0,8.914349
8596258275338770432,GALAXY,null,0.6730632,0,1.028241
8596258825094584320,GALAXY,null,0.8826073,0,0.7645997
8596259374850398208,STAR,M6III (148783),-1.68584E-06,0,1.544131
8596259649728305152,QSO,BROADLINE,1.117227,0,9.013729
8596259924606212096,GALAXY,null,0.6570672,0,1.247893
8596260749239932928,QSO,BROADLINE,0.6260835,0,4.355476
8596261573873653760,GALAXY,null,0.8822527,0,1.410178
8596261848751560704,STAR,M1 (204445),-0.0001651252,0,3.951687
8596262398507374592,QSO,null,1.298223,0,3.295582
8250595729514715136,GALAXY,null,0.3339924,0,5.157739
8250596829026342912,QSO,BROADLINE,0.9828508,0,2.746443
8250597378782156800,GALAXY,null,0.1269368,0,11.69847
8250597928537970688,GALAXY,null,0.1296892,0,8.595922
8250598203415877632,GALAXY,null,0.298429,0,8.049763
8250598478293784576,GALAXY,null,0.1284461,0,14.31317
8250599028049598464,GALAXY,null,0.1278811,0,15.80868
8250599302927505408,GALAXY,null,0.687071,0,1.022916
8250599577805412352,GALAXY,null,0.6859698,0,1.027047
8250600402439133184,GALAXY,null,0.7076169,0,1.415741
8250600677317040128,GALAXY,null,0.2942339,0,5.402436
8250601227072854016,GALAXY,null,0.352176,0,3.756374
8250601501950760960,GALAXY,null,0.7954046,0,0.9964648
8250601776828667904,GALAXY,null,0.2348906,0,6.206425
8250602326584481792,GALAXY,null,0.3490766,0,6.543474
8250602876340295680,QSO,BROADLINE,0.2993383,0,29.75213
8250603151218202624,GALAXY,null,0.6251734,0,2.868383
8250603426096109568,GALAXY,null,0.358483,0,3.043056
8250603700974016512,GALAXY,null,0.5740169,0,1.575091
8250604525607737344,GALAXY,null,0.2298341,0,5.685819
8250604800485644288,GALAXY,null,0.2328646,0,4.826944
8250605075363551232,GALAXY,null,0.2333753,0,8.511078
8250605350241458176,GALAXY,null,0.9041348,0,0.8181655
8250605625119365120,GALAXY,null,0.2277665,0,4.859903
8250606174875179008,QSO,BROADLINE,0.5814396,0,6.415615
8250606449753085952,GALAXY,STARFORMING,0.3385224,0,2.265114
8250606724630992896,QSO,null,1.905439,0,0.7778554
8250607824142620672,QSO,BROADLINE,3.025393,0,1.571234
8250608099020527616,GALAXY,null,1.140364,0,2.32219
8250608373898434560,STAR,M5III (221615),5.178505E-05,0,3.601027
8250608648776341504,STAR,M6III (148783),0.0001241049,0,0.4707028
8250608923654248448,GALAXY,null,0.9468771,0,2.07124
8250609198532155392,GALAXY,null,0.892024,0,1.156927
8250609473410062336,QSO,null,1.248106,0,2.280071
8250610298043783168,GALAXY,null,0.8305593,0,1.13547
8250610572921690112,GALAXY,STARBURST,0.05569798,0,9.562996
8250611122677504000,STAR,F3/F5V (30743),0.0001406752,0,29.15197
8250611397555410944,QSO,null,1.317634,0,1.050308
2028871972187826176,GALAXY,null,0.1908488,0,11.31022
2028872247065733120,GALAXY,STARFORMING,0.1059953,0,17.81454
2028872521943640064,GALAXY,null,0.07824342,0,8.170686
2028872796821547008,GALAXY,null,0.4612676,0,2.377836
2028873071699453952,GALAXY,null,0.1287713,0,18.50911
2028873346577360896,GALAXY,null,0.105586,0,19.04403
2028873621455267840,GALAXY,null,0.3103705,0,3.972358
2028873896333174784,GALAXY,STARFORMING,0.1059736,0,8.56112
2028874171211081728,GALAXY,STARFORMING,0.1363788,0,7.267632
2028874446088988672,STAR,F5,0.0005255051,0,9.634103
2028874720966895616,GALAXY,null,0.1742064,0,14.49446
2028874995844802560,GALAXY,null,0.457838,0,2.723466
2028875270722709504,GALAXY,null,0.1063426,0,13.476
2028875820478523392,GALAXY,null,0.09979419,0,11.25684
2028876095356430336,GALAXY,AGN,0.06740708,0,14.47648
2028876645112244224,GALAXY,null,0.1363538,0,10.64
